URL_ID,URL,FILE NUMBER,Positive score,Negative Score,Polarity Score,subjectivity_score,avg sentence length,complex words count,% of complex words,fog index,avg No of Words Per sentence,Syllable Words,Personal pronouns,Avg Words,Words Count
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,1,44,6,0.759999985,0.030595813,86.88607595,270,0.217391304,34.8413869,15.6835443,2210,11,4.592592593,1242
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,2,66,31,0.360824739,0.023178808,117.4814815,511,0.338410596,47.12795683,18.2345679,3152,6,5.377483444,1510
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,3,40,24,0.249999996,0.014746544,131.5862069,433,0.399078341,52.7941141,18.53448276,2522,13,6.096774194,1085
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,4,41,75,-0.293103446,-0.031627907,138.9433962,407,0.378604651,55.72880035,20.05660377,2376,5,5.910697674,1075
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,5,24,8,0.499999984,0.022955524,112.575,208,0.298421808,45.14936872,17.3,1445,6,5.525107604,697
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,6,90,27,0.538461534,0.03361793,144.1797753,701,0.374066169,57.82153658,20.86516854,4193,6,5.903948773,1874
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,7,32,71,-0.378640773,-0.029301277,103.9240506,391,0.293764087,41.68712589,16.63291139,2642,1,5.240420736,1331
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,8,32,9,0.560975596,0.029487179,114.877551,333,0.426923077,46.12178964,15.91836735,1878,3,6.279487179,780
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,9,44,51,-0.07368421,-0.007246377,119.4482759,407,0.421325052,47.94784037,16.55172414,2275,3,6.238095238,966
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,10,146,181,-0.107033639,-0.009390931,97.65690377,1128,0.302656292,39.18382402,15.44351464,7554,13,5.336195331,3727
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,11,65,20,0.529411758,0.030906593,143.8235294,552,0.379120879,57.68106012,21.25,3177,3,5.771291209,1456
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,12,89,24,0.575221234,0.038416076,135.5185185,602,0.355791962,54.34972419,20.65432099,3723,2,5.546690307,1692
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,13,41,13,0.518518509,0.044871795,153.5384615,217,0.34775641,61.55448718,24,1335,3,5.439102564,624
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,14,25,27,-0.038461538,-0.001805054,97.28571429,335,0.30234657,39.03522434,15.54285714,2185,3,5.227436823,1108
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,15,44,27,0.239436616,0.013492063,141.2105263,413,0.327777778,56.61532164,21.77192982,2604,7,5.448412698,1260
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,16,44,27,0.239436616,0.013492063,141.2105263,413,0.327777778,56.61532164,21.77192982,2604,7,5.448412698,1260
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,17,55,12,0.641791035,0.036225779,115.9538462,367,0.309182814,46.50521159,18.01538462,2423,4,5.417860152,1187
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,18,44,10,0.629629618,0.030881017,152.5869565,387,0.351498638,61.17538206,23.26086957,2287,1,5.445049955,1101
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,19,73,6,0.848101255,0.03768279,116.4574468,542,0.304836895,46.70491348,18.44680851,3546,5,5.234533183,1778
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,20,9,0,0.999999889,0.015570934,123.2592593,132,0.228373702,49.39505318,20.48148148,1025,1,4.847750865,578
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,21,28,47,-0.25333333,-0.018129771,134.4,373,0.355916031,53.90236641,20.5,2214,6,5.481870229,1048
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,22,16,10,0.230769222,0.014018692,93.66666667,107,0.25,37.56666667,15.7037037,810,5,4.981308411,428
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,23,44,16,0.466666659,0.019886364,138.5,385,0.2734375,55.509375,23.15,2702,7,4.958096591,1408
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,24,25,3,0.785714258,0.037606838,163.0454545,184,0.314529915,65.34399378,26,1143,1,5.191452991,585
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,25,23,11,0.352941166,0.011214953,241.76,239,0.223364486,96.79334579,41.72,1876,6,4.697196262,1070
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,26,29,14,0.348837201,0.016429354,132.4047619,267,0.292442497,53.07888176,21.23809524,1783,1,5.159912377,913
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,27,43,26,0.246376808,0.012221423,142.9245283,295,0.212077642,57.25464238,25.30188679,2395,28,4.51976995,1391
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,28,41,26,0.223880594,0.012998267,186.6052632,325,0.281629116,74.75475691,29.34210526,2245,10,5.211438475,1154
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,29,79,34,0.398230085,0.024549918,155.8701299,635,0.346426623,62.4866226,23.48051948,3937,1,5.603382433,1833
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,30,71,38,0.302752291,0.022587269,118.0428571,339,0.232032854,47.309956,20.28571429,2667,6,4.73100616,1461
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,31,74,38,0.321428569,0.020665901,126.7209302,572,0.328358209,50.81971538,19.88372093,3607,3,5.323765786,1742
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,32,86,28,0.508771925,0.034544372,115.2891566,393,0.234067898,46.20928981,20,3127,18,4.759976176,1679
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,33,71,28,0.43434343,0.023717595,143.7432432,455,0.250965251,57.5976834,23.60810811,3375,18,4.94429123,1813
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,34,57,24,0.407407402,0.024608501,135.0689655,338,0.252050708,54.12840649,22.48275862,2513,21,4.912751678,1341
